ENSMUSP00000000356	ENSP00000448051
ENSMUSP00000020382	ENSP00000247843
ENSMUSP00000037576	ENSP00000358142
ENSMUSP00000003049	ENSP00000326767
ENSMUSP00000125777	ENSP00000337825
ENSMUSP00000026547	ENSP00000252936
ENSMUSP00000037915	ENSP00000391167
ENSMUSP00000025263	ENSP00000398698
ENSMUSP00000026036	ENSP00000368253
ENSMUSP00000131991	ENSP00000232975
ENSMUSP00000030865	ENSP00000319713
ENSMUSP00000028909	ENSP00000366988
ENSMUSP00000004560	ENSP00000318822
ENSMUSP00000016902	ENSP00000216115
ENSMUSP00000019997	ENSP00000237289
ENSMUSP00000096829	ENSP00000217244
ENSMUSP00000126850	ENSP00000261182
ENSMUSP00000004206	ENSP00000253108
ENSMUSP00000030398	ENSP00000416293
ENSMUSP00000110547	ENSP00000349142
ENSMUSP00000026495	ENSP00000282050
ENSMUSP00000131964	ENSP00000262623
ENSMUSP00000030677	ENSP00000350195
ENSMUSP00000078580	ENSP00000221233
ENSMUSP00000057482	ENSP00000383599
ENSMUSP00000033549	ENSP00000355195
ENSMUSP00000084405	ENSP00000263925
ENSMUSP00000115044	ENSP00000405965
ENSMUSP00000082816	ENSP00000268058
ENSMUSP00000054036	ENSP00000354911
ENSMUSP00000004614	ENSP00000321209
ENSMUSP00000053147	ENSP00000263610
ENSMUSP00000070728	ENSP00000359206
ENSMUSP00000037126	ENSP00000287598
ENSMUSP00000000746	ENSP00000270172
ENSMUSP00000022496	ENSP00000261667
ENSMUSP00000028118	ENSP00000263125
ENSMUSP00000121390	ENSP00000268933
ENSMUSP00000046755	ENSP00000362460
ENSMUSP00000030884	ENSP00000235329
ENSMUSP00000024970	ENSP00000384597
ENSMUSP00000109340	ENSP00000361800
ENSMUSP00000029868	ENSP00000297596
ENSMUSP00000120071	ENSP00000371973
ENSMUSP00000021898	ENSP00000364995
ENSMUSP00000022945	ENSP00000306473
ENSMUSP00000034848	ENSP00000044462
ENSMUSP00000005334	ENSP00000369816
ENSMUSP00000091940	ENSP00000401303
ENSMUSP00000022682	ENSP00000240123
ENSMUSP00000028648	ENSP00000020926
ENSMUSP00000036924	ENSP00000310670
ENSMUSP00000025057	ENSP00000354633
ENSMUSP00000020285	ENSP00000362335
ENSMUSP00000084466	ENSP00000273064
ENSMUSP00000029547	ENSP00000271889
ENSMUSP00000008826	ENSP00000341730
ENSMUSP00000023572	ENSP00000284878
ENSMUSP00000112871	ENSP00000251496
ENSMUSP00000025338	ENSP00000366233
ENSMUSP00000060028	ENSP00000318804
ENSMUSP00000047173	ENSP00000348099
ENSMUSP00000101315	ENSP00000366563
ENSMUSP00000029201	ENSP00000263967
ENSMUSP00000056227	ENSP00000382204
ENSMUSP00000076303	ENSP00000317903
ENSMUSP00000034296	ENSP00000222254
ENSMUSP00000100869	ENSP00000342755
ENSMUSP00000016231	ENSP00000399985
ENSMUSP00000034466	ENSP00000355607
ENSMUSP00000070583	ENSP00000256720
ENSMUSP00000042565	ENSP00000355237
ENSMUSP00000112221	ENSP00000288986
ENSMUSP00000026196	ENSP00000359539
ENSMUSP00000034097	ENSP00000245206
ENSMUSP00000107192	ENSP00000303585
ENSMUSP00000002889	ENSP00000324573
ENSMUSP00000022268	ENSP00000307241
ENSMUSP00000121346	ENSP00000355051
ENSMUSP00000008995	ENSP00000264606
ENSMUSP00000029002	ENSP00000429243
ENSMUSP00000031121	ENSP00000264318
ENSMUSP00000000939	ENSP00000253083
ENSMUSP00000088031	ENSP00000310006
ENSMUSP00000033136	ENSP00000358081
ENSMUSP00000096061	ENSP00000325708
ENSMUSP00000076364	ENSP00000281171
ENSMUSP00000113835	ENSP00000328992
ENSMUSP00000030964	ENSP00000226279
ENSMUSP00000030541	ENSP00000312625
ENSMUSP00000028328	ENSP00000347213
ENSMUSP00000021941	ENSP00000401867
ENSMUSP00000099659	ENSP00000386439
ENSMUSP00000095739	ENSP00000304139
ENSMUSP00000075067	ENSP00000296930
ENSMUSP00000041263	ENSP00000261497
ENSMUSP00000054719	ENSP00000338283
ENSMUSP00000025486	ENSP00000261366
ENSMUSP00000028730	ENSP00000246062
ENSMUSP00000103943	ENSP00000297591
ENSMUSP00000034703	ENSP00000325690
ENSMUSP00000019975	ENSP00000352425
ENSMUSP00000029707	ENSP00000396441
ENSMUSP00000106770	ENSP00000257818
ENSMUSP00000044682	ENSP00000222266
ENSMUSP00000073099	ENSP00000275815
ENSMUSP00000006614	ENSP00000351209
ENSMUSP00000023029	ENSP00000216237
ENSMUSP00000028100	ENSP00000263062
ENSMUSP00000027451	ENSP00000281821
ENSMUSP00000028280	ENSP00000360882
ENSMUSP00000050087	ENSP00000338127
ENSMUSP00000031034	ENSP00000233557
ENSMUSP00000099739	ENSP00000365817
ENSMUSP00000086112	ENSP00000219022
ENSMUSP00000096775	ENSP00000408979
ENSMUSP00000129186	ENSP00000284320
ENSMUSP00000079991	ENSP00000352336
ENSMUSP00000100002	ENSP00000417980
ENSMUSP00000042229	ENSP00000261839
ENSMUSP00000025818	ENSP00000310406
ENSMUSP00000019614	ENSP00000351137
ENSMUSP00000033056	ENSP00000247470
ENSMUSP00000031249	ENSP00000282470
ENSMUSP00000066894	ENSP00000264051
ENSMUSP00000041912	ENSP00000222329
ENSMUSP00000093974	ENSP00000294119
ENSMUSP00000097442	ENSP00000355536
ENSMUSP00000107927	ENSP00000260665
ENSMUSP00000002029	ENSP00000358857
ENSMUSP00000105915	ENSP00000370022
ENSMUSP00000034017	ENSP00000424198
ENSMUSP00000100771	ENSP00000356541
ENSMUSP00000096266	ENSP00000161559
ENSMUSP00000137123	ENSP00000352608
ENSMUSP00000020538	ENSP00000384863
ENSMUSP00000021918	ENSP00000364860
ENSMUSP00000099634	ENSP00000349297
ENSMUSP00000003310	ENSP00000306637
ENSMUSP00000061546	ENSP00000442308
ENSMUSP00000053145	ENSP00000367934
ENSMUSP00000026743	ENSP00000203407
ENSMUSP00000048838	ENSP00000377947
ENSMUSP00000125729	ENSP00000356999
ENSMUSP00000108620	ENSP00000314655
ENSMUSP00000051959	ENSP00000225688
ENSMUSP00000034912	ENSP00000405963
ENSMUSP00000007275	ENSP00000246635
ENSMUSP00000079699	ENSP00000308452
ENSMUSP00000028795	ENSP00000372088
ENSMUSP00000030785	ENSP00000367059
ENSMUSP00000108996	ENSP00000301459
ENSMUSP00000023803	ENSP00000373487
ENSMUSP00000092408	ENSP00000361721
ENSMUSP00000008748	ENSP00000357292
ENSMUSP00000102857	ENSP00000357879
ENSMUSP00000026084	ENSP00000298472
ENSMUSP00000112508	ENSP00000341957
ENSMUSP00000003643	ENSP00000221476
ENSMUSP00000117040	ENSP00000264867
ENSMUSP00000003550	ENSP00000294785
ENSMUSP00000023068	ENSP00000350036
ENSMUSP00000023612	ENSP00000353344
ENSMUSP00000034534	ENSP00000376436
ENSMUSP00000076603	ENSP00000221665
ENSMUSP00000018353	ENSP00000361892
ENSMUSP00000018909	ENSP00000250113
ENSMUSP00000083375	ENSP00000307900
ENSMUSP00000017384	ENSP00000264645
ENSMUSP00000075089	ENSP00000262803
ENSMUSP00000047457	ENSP00000296921
ENSMUSP00000128871	ENSP00000421689
ENSMUSP00000130739	ENSP00000413035
ENSMUSP00000046910	ENSP00000328729
ENSMUSP00000016569	ENSP00000313851
ENSMUSP00000035423	ENSP00000239151
ENSMUSP00000120125	ENSP00000436901
ENSMUSP00000005069	ENSP00000168977
ENSMUSP00000111977	ENSP00000383042
ENSMUSP00000042155	ENSP00000311713
ENSMUSP00000055225	ENSP00000371985
ENSMUSP00000001592	ENSP00000311113
ENSMUSP00000057669	ENSP00000351132
ENSMUSP00000080765	ENSP00000317686
ENSMUSP00000070310	ENSP00000367486
ENSMUSP00000113213	ENSP00000229239
ENSMUSP00000016664	ENSP00000325929
ENSMUSP00000066035	ENSP00000362010
ENSMUSP00000051331	ENSP00000302625
ENSMUSP00000022830	ENSP00000216274
ENSMUSP00000073974	ENSP00000262320
ENSMUSP00000028900	ENSP00000369810
ENSMUSP00000071636	ENSP00000342026
ENSMUSP00000044879	ENSP00000230658
ENSMUSP00000120525	ENSP00000380073
ENSMUSP00000029126	ENSP00000363998
ENSMUSP00000021609	ENSP00000163416
ENSMUSP00000105833	ENSP00000370270
ENSMUSP00000027906	ENSP00000386171
ENSMUSP00000110238	ENSP00000318373
ENSMUSP00000075624	ENSP00000420267
ENSMUSP00000113308	ENSP00000409667
ENSMUSP00000065987	ENSP00000233084
ENSMUSP00000028341	ENSP00000314004
ENSMUSP00000109130	ENSP00000337088
ENSMUSP00000026296	ENSP00000364277
ENSMUSP00000043587	ENSP00000262041
ENSMUSP00000034405	ENSP00000325863
ENSMUSP00000002495	ENSP00000452854
ENSMUSP00000028639	ENSP00000453793
ENSMUSP00000035045	ENSP00000289104
ENSMUSP00000022698	ENSP00000276420
ENSMUSP00000087079	ENSP00000233668
ENSMUSP00000029694	ENSP00000354837
ENSMUSP00000096280	ENSP00000337261
ENSMUSP00000035281	ENSP00000375717
ENSMUSP00000018727	ENSP00000348578
ENSMUSP00000041767	ENSP00000298532
ENSMUSP00000028155	ENSP00000298552
ENSMUSP00000027559	ENSP00000465500
ENSMUSP00000023583	ENSP00000393887
ENSMUSP00000032491	ENSP00000162749
ENSMUSP00000017799	ENSP00000361359
ENSMUSP00000040524	ENSP00000229335
ENSMUSP00000088796	ENSP00000325827
ENSMUSP00000120976	ENSP00000370023
ENSMUSP00000033673	ENSP00000276079
ENSMUSP00000104703	ENSP00000342300
ENSMUSP00000057462	ENSP00000450731
ENSMUSP00000000594	ENSP00000348107
ENSMUSP00000096677	ENSP00000360985
ENSMUSP00000019354	ENSP00000253413
ENSMUSP00000013304	ENSP00000290949
ENSMUSP00000008812	ENSP00000393241
ENSMUSP00000099399	ENSP00000264649
ENSMUSP00000121000	ENSP00000376611
ENSMUSP00000035055	ENSP00000353375
ENSMUSP00000110760	ENSP00000248150
ENSMUSP00000041294	ENSP00000378965
ENSMUSP00000105350	ENSP00000217381
ENSMUSP00000082729	ENSP00000370421
ENSMUSP00000025081	ENSP00000354487
ENSMUSP00000035075	ENSP00000296145
ENSMUSP00000092223	ENSP00000300231
ENSMUSP00000109650	ENSP00000353508
ENSMUSP00000091595	ENSP00000379144
ENSMUSP00000026475	ENSP00000447803
ENSMUSP00000033642	ENSP00000337697
ENSMUSP00000109552	ENSP00000354791
ENSMUSP00000044034	ENSP00000360025
ENSMUSP00000027952	ENSP00000356000
ENSMUSP00000038863	ENSP00000256015
ENSMUSP00000020692	ENSP00000290551
ENSMUSP00000005279	ENSP00000366915
ENSMUSP00000112765	ENSP00000379092
ENSMUSP00000024699	ENSP00000328674
ENSMUSP00000021692	ENSP00000262238
ENSMUSP00000042271	ENSP00000262013
ENSMUSP00000031697	ENSP00000326804
ENSMUSP00000029654	ENSP00000264428
ENSMUSP00000018005	ENSP00000217026
ENSMUSP00000033012	ENSP00000249923
ENSMUSP00000052146	ENSP00000254770
ENSMUSP00000082941	ENSP00000380150
ENSMUSP00000035010	ENSP00000295770
ENSMUSP00000032978	ENSP00000321221
ENSMUSP00000114074	ENSP00000356832
ENSMUSP00000029018	ENSP00000360215
ENSMUSP00000098118	ENSP00000262018
ENSMUSP00000052086	ENSP00000416706
ENSMUSP00000072043	ENSP00000290399
ENSMUSP00000020071	ENSP00000262901
ENSMUSP00000004494	ENSP00000369131
ENSMUSP00000001125	ENSP00000228495
ENSMUSP00000009102	ENSP00000357887
ENSMUSP00000034090	ENSP00000251020
ENSMUSP00000018851	ENSP00000348965
ENSMUSP00000100979	ENSP00000262965
ENSMUSP00000027878	ENSP00000239461
ENSMUSP00000105680	ENSP00000263897
ENSMUSP00000108075	ENSP00000380921
ENSMUSP00000078539	ENSP00000302640
ENSMUSP00000113103	ENSP00000308369
ENSMUSP00000006912	ENSP00000365757
ENSMUSP00000025800	ENSP00000265382
ENSMUSP00000020227	ENSP00000008527
ENSMUSP00000088047	ENSP00000406751
ENSMUSP00000033495	ENSP00000365692
ENSMUSP00000006578	ENSP00000356991
ENSMUSP00000100964	ENSP00000335333
ENSMUSP00000030464	ENSP00000262741
ENSMUSP00000032335	ENSP00000261168
ENSMUSP00000099334	ENSP00000359070
ENSMUSP00000020057	ENSP00000447488
ENSMUSP00000099947	ENSP00000334499
ENSMUSP00000007797	ENSP00000274547
ENSMUSP00000055862	ENSP00000298316
ENSMUSP00000026470	ENSP00000333667
ENSMUSP00000033519	ENSP00000367841
ENSMUSP00000029017	ENSP00000319814
ENSMUSP00000099907	ENSP00000337838
ENSMUSP00000037583	ENSP00000303145
ENSMUSP00000106401	ENSP00000219905
ENSMUSP00000005647	ENSP00000263774
ENSMUSP00000021271	ENSP00000314420
ENSMUSP00000066620	ENSP00000254657
ENSMUSP00000099493	ENSP00000355031
ENSMUSP00000071048	ENSP00000368552
ENSMUSP00000099717	ENSP00000261499
ENSMUSP00000085581	ENSP00000348838
ENSMUSP00000025014	ENSP00000199706
ENSMUSP00000019248	ENSP00000085219
ENSMUSP00000021810	ENSP00000367972
ENSMUSP00000034206	ENSP00000245157
ENSMUSP00000008016	ENSP00000363689
ENSMUSP00000040245	ENSP00000268638
ENSMUSP00000109833	ENSP00000420419
ENSMUSP00000044268	ENSP00000380888
ENSMUSP00000005592	ENSP00000345243
ENSMUSP00000103378	ENSP00000259455
ENSMUSP00000046320	ENSP00000414516
ENSMUSP00000022310	ENSP00000280700
ENSMUSP00000029761	ENSP00000306997
ENSMUSP00000005064	ENSP00000262971
ENSMUSP00000026436	ENSP00000316338
ENSMUSP00000088174	ENSP00000348786
ENSMUSP00000059801	ENSP00000345771
ENSMUSP00000069578	ENSP00000359128
ENSMUSP00000034060	ENSP00000284637
ENSMUSP00000060394	ENSP00000320768
ENSMUSP00000005066	ENSP00000302486
ENSMUSP00000079727	ENSP00000234590
ENSMUSP00000120595	ENSP00000258962
ENSMUSP00000030306	ENSP00000360252
ENSMUSP00000073175	ENSP00000293842
ENSMUSP00000004784	ENSP00000263097
ENSMUSP00000101706	ENSP00000359837
ENSMUSP00000003876	ENSP00000254900
ENSMUSP00000001185	ENSP00000282570
ENSMUSP00000023359	ENSP00000345892
ENSMUSP00000096777	ENSP00000364119
ENSMUSP00000036361	ENSP00000376952
ENSMUSP00000032326	ENSP00000350698
ENSMUSP00000066734	ENSP00000374323
ENSMUSP00000096452	ENSP00000255613
ENSMUSP00000078914	ENSP00000356982
ENSMUSP00000047551	ENSP00000272167
ENSMUSP00000020004	ENSP00000229595
ENSMUSP00000095524	ENSP00000361473
ENSMUSP00000069962	ENSP00000339016
ENSMUSP00000022998	ENSP00000303398
ENSMUSP00000022890	ENSP00000342667
ENSMUSP00000043311	ENSP00000248929
ENSMUSP00000082254	ENSP00000332818
ENSMUSP00000020107	ENSP00000261173
ENSMUSP00000027164	ENSP00000303939
ENSMUSP00000000724	ENSP00000263754
ENSMUSP00000004094	ENSP00000322977
ENSMUSP00000101049	ENSP00000347665
ENSMUSP00000033342	ENSP00000310040
ENSMUSP00000056669	ENSP00000304236
ENSMUSP00000031414	ENSP00000403524
ENSMUSP00000041282	ENSP00000262445
ENSMUSP00000086560	ENSP00000215980
ENSMUSP00000053899	ENSP00000350369
ENSMUSP00000075178	ENSP00000259818
ENSMUSP00000037925	ENSP00000265734
ENSMUSP00000062924	ENSP00000043402
ENSMUSP00000059211	ENSP00000265038
ENSMUSP00000123078	ENSP00000400258
ENSMUSP00000035272	ENSP00000303476
ENSMUSP00000084896	ENSP00000381840
ENSMUSP00000051861	ENSP00000339823
ENSMUSP00000081912	ENSP00000377298
ENSMUSP00000006377	ENSP00000364895
ENSMUSP00000048053	ENSP00000226760
ENSMUSP00000086312	ENSP00000340823
ENSMUSP00000109605	ENSP00000305899
ENSMUSP00000021335	ENSP00000390783
ENSMUSP00000026500	ENSP00000257861
ENSMUSP00000022954	ENSP00000348108
ENSMUSP00000031984	ENSP00000351947
ENSMUSP00000057339	ENSP00000328773
ENSMUSP00000112699	ENSP00000354849
ENSMUSP00000026922	ENSP00000305632
ENSMUSP00000078093	ENSP00000334382
ENSMUSP00000021595	ENSP00000261303
ENSMUSP00000000451	ENSP00000251849
ENSMUSP00000022803	ENSP00000355325
ENSMUSP00000005923	ENSP00000290541
ENSMUSP00000034369	ENSP00000351314
ENSMUSP00000014913	ENSP00000262193
ENSMUSP00000028083	ENSP00000259457
ENSMUSP00000043130	ENSP00000396976
ENSMUSP00000018430	ENSP00000270586
ENSMUSP00000020238	ENSP00000299767
ENSMUSP00000089858	ENSP00000333275
ENSMUSP00000050684	ENSP00000266269
ENSMUSP00000022927	ENSP00000297338
ENSMUSP00000022136	ENSP00000370151
ENSMUSP00000036384	ENSP00000249071
ENSMUSP00000006367	ENSP00000357980
ENSMUSP00000020008	ENSP00000357484
ENSMUSP00000030134	ENSP00000350708
ENSMUSP00000027251	ENSP00000258428
ENSMUSP00000101874	ENSP00000215095
ENSMUSP00000028234	ENSP00000362994
ENSMUSP00000099650	ENSP00000362728
ENSMUSP00000043890	ENSP00000306697
ENSMUSP00000105129	ENSP00000333680
ENSMUSP00000032440	ENSP00000312122
ENSMUSP00000021522	ENSP00000328570
ENSMUSP00000025955	ENSP00000358140
ENSMUSP00000018449	ENSP00000304350
ENSMUSP00000083077	ENSP00000354490
ENSMUSP00000034570	ENSP00000280362
ENSMUSP00000034961	ENSP00000332773
ENSMUSP00000025684	ENSP00000320516
ENSMUSP00000056828	ENSP00000335147
ENSMUSP00000071214	ENSP00000256383
ENSMUSP00000034093	ENSP00000307235
ENSMUSP00000020448	ENSP00000261233
ENSMUSP00000092409	ENSP00000270225
ENSMUSP00000055308	ENSP00000368880
ENSMUSP00000009157	ENSP00000242577
ENSMUSP00000031840	ENSP00000371420
ENSMUSP00000029214	ENSP00000397552
ENSMUSP00000065113	ENSP00000377446
ENSMUSP00000008517	ENSP00000324122
ENSMUSP00000065716	ENSP00000323659
ENSMUSP00000034132	ENSP00000219097
ENSMUSP00000036949	ENSP00000357799
ENSMUSP00000127746	ENSP00000378286
ENSMUSP00000038137	ENSP00000326531
ENSMUSP00000059678	ENSP00000310042
ENSMUSP00000119482	ENSP00000388241
ENSMUSP00000031535	ENSP00000257555
ENSMUSP00000036285	ENSP00000288840
ENSMUSP00000020920	ENSP00000262406
ENSMUSP00000126194	ENSP00000384084
ENSMUSP00000016463	ENSP00000360671
ENSMUSP00000021523	ENSP00000261245
ENSMUSP00000031447	ENSP00000264908
ENSMUSP00000001187	ENSP00000377833
ENSMUSP00000029266	ENSP00000296511
ENSMUSP00000104511	ENSP00000346550
ENSMUSP00000092502	ENSP00000341885
ENSMUSP00000025036	ENSP00000159111
ENSMUSP00000004375	ENSP00000441875
ENSMUSP00000115558	ENSP00000235382
ENSMUSP00000028166	ENSP00000344479
ENSMUSP00000078410	ENSP00000419153
ENSMUSP00000077594	ENSP00000267484
ENSMUSP00000115822	ENSP00000356481
ENSMUSP00000055919	ENSP00000262506
ENSMUSP00000050335	ENSP00000302951
ENSMUSP00000032194	ENSP00000256495
ENSMUSP00000105173	ENSP00000265077
ENSMUSP00000110021	ENSP00000333547
ENSMUSP00000078245	ENSP00000252891
ENSMUSP00000037665	ENSP00000222982
ENSMUSP00000034713	ENSP00000454071
ENSMUSP00000014545	ENSP00000280704
ENSMUSP00000032373	ENSP00000229319
ENSMUSP00000052856	ENSP00000273480
ENSMUSP00000035170	ENSP00000260818
ENSMUSP00000041082	ENSP00000420211
ENSMUSP00000030029	ENSP00000262457
ENSMUSP00000034566	ENSP00000394352
ENSMUSP00000099693	ENSP00000358886
ENSMUSP00000091469	ENSP00000209728
ENSMUSP00000025686	ENSP00000360998
ENSMUSP00000025375	ENSP00000296702
ENSMUSP00000071966	ENSP00000296440
ENSMUSP00000044831	ENSP00000323099
ENSMUSP00000034508	ENSP00000260187
ENSMUSP00000038352	ENSP00000379339
ENSMUSP00000025483	ENSP00000256854
ENSMUSP00000029912	ENSP00000260130
ENSMUSP00000049056	ENSP00000238616
ENSMUSP00000020298	ENSP00000299299
ENSMUSP00000026577	ENSP00000320828
ENSMUSP00000109671	ENSP00000348984
ENSMUSP00000098076	ENSP00000354125
ENSMUSP00000034343	ENSP00000354579
ENSMUSP00000071756	ENSP00000310749
ENSMUSP00000023707	ENSP00000270142
ENSMUSP00000122831	ENSP00000336868
ENSMUSP00000037324	ENSP00000338191
ENSMUSP00000019065	ENSP00000301396
ENSMUSP00000029699	ENSP00000357283
ENSMUSP00000090884	ENSP00000256935
ENSMUSP00000006774	ENSP00000265963
ENSMUSP00000088176	ENSP00000358716
ENSMUSP00000023535	ENSP00000311505
ENSMUSP00000035208	ENSP00000296452
ENSMUSP00000070751	ENSP00000333769
ENSMUSP00000018470	ENSP00000300161
ENSMUSP00000107182	ENSP00000373734
ENSMUSP00000003642	ENSP00000259708
ENSMUSP00000043210	ENSP00000369989
ENSMUSP00000032093	ENSP00000295902
ENSMUSP00000034510	ENSP00000264025
ENSMUSP00000117045	ENSP00000362820
ENSMUSP00000121079	ENSP00000310585
ENSMUSP00000090633	ENSP00000367263
ENSMUSP00000022692	ENSP00000316152
ENSMUSP00000030623	ENSP00000349748
ENSMUSP00000064655	ENSP00000295834
ENSMUSP00000033394	ENSP00000301838
ENSMUSP00000053146	ENSP00000367570
ENSMUSP00000099785	ENSP00000360843
ENSMUSP00000024846	ENSP00000237500
ENSMUSP00000024947	ENSP00000304502
ENSMUSP00000135677	ENSP00000260653
ENSMUSP00000059026	ENSP00000247182
ENSMUSP00000021519	ENSP00000328596
ENSMUSP00000024123	ENSP00000380413
ENSMUSP00000045973	ENSP00000316842
ENSMUSP00000053178	ENSP00000237316
ENSMUSP00000039416	ENSP00000323377
ENSMUSP00000107284	ENSP00000444972
ENSMUSP00000109687	ENSP00000282111
ENSMUSP00000035549	ENSP00000269582
ENSMUSP00000066886	ENSP00000273398
ENSMUSP00000006435	ENSP00000276390
ENSMUSP00000044827	ENSP00000370968
ENSMUSP00000034359	ENSP00000341268
ENSMUSP00000019482	ENSP00000319829
ENSMUSP00000030674	ENSP00000440704
ENSMUSP00000027966	ENSP00000351497
ENSMUSP00000022322	ENSP00000277865
ENSMUSP00000119345	ENSP00000384625
ENSMUSP00000044048	ENSP00000358022
ENSMUSP00000006293	ENSP00000346300
ENSMUSP00000017920	ENSP00000300574
ENSMUSP00000049296	ENSP00000262304
ENSMUSP00000030922	ENSP00000367830
ENSMUSP00000084041	ENSP00000237596
ENSMUSP00000028999	ENSP00000336552
ENSMUSP00000066228	ENSP00000328968
ENSMUSP00000029773	ENSP00000359225
ENSMUSP00000054499	ENSP00000346839
ENSMUSP00000109190	ENSP00000413625
ENSMUSP00000080164	ENSP00000353292
ENSMUSP00000033161	ENSP00000345751
ENSMUSP00000085906	ENSP00000359506
ENSMUSP00000091163	ENSP00000262809
ENSMUSP00000099606	ENSP00000333950
ENSMUSP00000025830	ENSP00000265381
ENSMUSP00000032476	ENSP00000075120
ENSMUSP00000093469	ENSP00000255324
ENSMUSP00000055747	ENSP00000222823
ENSMUSP00000064691	ENSP00000253408
ENSMUSP00000072154	ENSP00000324740
ENSMUSP00000026122	ENSP00000327801
ENSMUSP00000079592	ENSP00000230122
ENSMUSP00000050077	ENSP00000234961
ENSMUSP00000021794	ENSP00000368759
ENSMUSP00000003512	ENSP00000221466
ENSMUSP00000045755	ENSP00000290776
ENSMUSP00000038382	ENSP00000315674
ENSMUSP00000033956	ENSP00000430505
ENSMUSP00000017694	ENSP00000313171
ENSMUSP00000029540	ENSP00000357669
ENSMUSP00000099475	ENSP00000269122
ENSMUSP00000087955	ENSP00000352272
ENSMUSP00000070503	ENSP00000349168
ENSMUSP00000048994	ENSP00000304689
